symbol,epoch,slug,orders_placed,orders_filled,orders_open,allocation_usdc,total_proceeds_usdc,yes_filled,no_filled,yes_unfilled,no_unfilled,pnl_if_yes_wins_usdc,pnl_if_no_wins_usdc,epoch_end_utc
eth,5m,eth-updown-5m-1775280300,8,8,0,100.0,104.3,100.0,100.0,0.0,0.0,4.3,4.3,2026-04-04T05:30:00Z
eth,5m,eth-updown-5m-1775280000,2,2,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2026-04-04T05:25:00Z
eth,5m,eth-updown-5m-1775279700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T05:20:00Z
eth,5m,eth-updown-5m-1775279400,4,4,0,100.0,103.5,100.0,100.0,0.0,0.0,3.5,3.5,2026-04-04T05:15:00Z
eth,5m,eth-updown-5m-1775279100,2,2,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2026-04-04T05:10:00Z
eth,5m,eth-updown-5m-1775278800,6,6,0,100.0,104.7,100.0,100.0,0.0,0.0,4.7,4.7,2026-04-04T05:05:00Z
eth,5m,eth-updown-5m-1775278500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T05:00:00Z
eth,5m,eth-updown-5m-1775278200,7,7,0,100.0,103.8,100.0,100.0,0.0,0.0,3.8,3.8,2026-04-04T04:55:00Z
eth,5m,eth-updown-5m-1775277900,6,6,0,100.0,104.0,100.0,100.0,0.0,0.0,4.0,4.0,2026-04-04T04:50:00Z
eth,5m,eth-updown-5m-1775277600,6,6,0,100.0,104.2,100.0,100.0,0.0,0.0,4.2,4.2,2026-04-04T04:45:00Z
eth,5m,eth-updown-5m-1775277300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T04:40:00Z
eth,5m,eth-updown-5m-1775277000,2,2,0,100.0,103.0,100.0,100.0,0.0,0.0,3.0,3.0,2026-04-04T04:35:00Z
eth,5m,eth-updown-5m-1775276700,7,7,0,100.0,103.1,100.0,100.0,0.0,0.0,3.1,3.1,2026-04-04T04:30:00Z
eth,5m,eth-updown-5m-1775276400,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T04:25:00Z
eth,5m,eth-updown-5m-1775276100,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-04T04:20:00Z
eth,5m,eth-updown-5m-1775275800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-04T04:15:00Z
